_id,PrimaryKey,DateAddedtoDataRelease,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,ProcurementMethod,ProjectRegion,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote
160,IP000023,2019-11-07T00:00:00,New Zealand Defence Force,Linked Capability Base Infrastructure Support Requirements,This project is a 'catch-all' for the general upgrade of underground services across major areas of Whenuapai and will be prioritised in accordance with established understanding of the relative priority for: type; nature; condition; and requirement of the underground service (its future location and extent of work required).,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,50 - 100 Million,"","","","","","",2021-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
161,IP000024,2019-11-07T00:00:00,New Zealand Defence Force,Linked Capability of Airfield Infrastructure,"This project is a 'catch-all' for the general upgrade of 'airfield infrastructure' as is required to meet capability requirements, for Whenuapai and will be prioritised in accordance with established understanding of capability requirements.","",Business Case / Investment Case Development,To be determined,Auckland,Defence,100 - 250 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
162,IP000025,2019-11-07T00:00:00,New Zealand Defence Force,Linked Capability Introduction to Service - Wharf Strengthening,This project entry remains as a placeholder awaiting confirmation of requirement from the Defence Capability project lead. The scope and detailed requirements of the project will be determined by a subsequent report and requirements of the future maritime fleet.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,< 5 Million,"","","","","","",2023-Q3,2026-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
163,IP000026,2019-11-07T00:00:00,New Zealand Defence Force,Existing Wharf Strengthening - Future Maritime Fleet,This project entry remains as a placeholder awaiting confirmation of requirement from the Defence Capability project lead. The scope and detailed requirements of the project will be determined by a subsequent report and requirements of the future maritime fleet.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,5 - 25 Million,"","","","","","",2020-Q3,2021-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
164,IP000028,2019-11-07T00:00:00,New Zealand Defence Force,Small Boats Storage and Wash Down Area,This project will provide a fit for purpose storage and wash down facility replacing the current (outdoor) small boat storage area. The aim of this is to provide a facility which will protect the small boats from sea spray; sun; wind; and rain; and enable easy transfer of boats into and out of the facility. It is intended that the building will remain open to the North East. The facility will provide the ability to remove salt and other contaminants from the boats in a manner which meets legislative safety and environmental requirements; enable routine general maintenance including minor maintenance on the engines; and to store ready use items and related maintenance equipment. Physical security i.e. lockable areas and oversight/monitoring will likely be a requirement.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,< 5 Million,"","","","","","",2025-Q3,2027-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
165,IP000029,2019-11-07T00:00:00,New Zealand Defence Force,Small Boats Maintenance Workshop,This project seeks to provide a safe working environment for maintenance activities related to the small boat fleet. Physical security i.e. lockable areas and oversight/monitoring will likely be a requirement.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,< 5 Million,"","","","","","",2024-Q3,2027-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
166,IP000030,2019-11-07T00:00:00,New Zealand Defence Force,Small Boats Fuel Services,This project seeks to provide safe fuelling options for the small boat fleet. This will include the controls; monitoring; and environmental protection measures required to support safe fuelling suitable for the current and future small-boat fleets.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,< 5 Million,"","","","","","",2025-Q3,2027-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
167,IP000031,2019-11-07T00:00:00,New Zealand Defence Force,Waterside Operations and Offices,This project will deliver a multi-use; combined-use; office; planning; conference; and training building for the management of all ship related dock-side operations (maintenance and management) and all ship related water-side operations (supply; management; and support).,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,5 - 25 Million,"","","","","","",2024-Q3,2028-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
168,IP000032,2019-11-07T00:00:00,New Zealand Defence Force,Transitionary Multi-Purpose Office Accommodation,This project requires the delivery of a transitional suite of general office-like areas. The Naval Base is constrained geographically and will require a transitional suite of general office-like areas that cater for dislocated functions and personnel while their facility is replaced. It is envisaged that this suite of office-like areas be temporary; modular; demountable; and removable on there being no further use. It is envisaged that the facility will receive multiple groups over a number of years.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,< 5 Million,"","","","","","",2025-Q3,2028-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
169,IP000034,2019-11-07T00:00:00,New Zealand Defence Force,Linked Capability Wharf Extension,This project entry remains as a placeholder awaiting confirmation of requirement from the Defence Capability project lead. The scope and detailed requirements of the project will be determined by a subsequent report and requirements of the future maritime fleet.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,25 - 50 Million,"","","","","","",2023-Q3,2027-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
170,IP000035,2019-11-07T00:00:00,New Zealand Defence Force,Ocean Patrol Vessel Wharf Transformer,This project will deliver increases capacity of the wharf transformer. Due to the increased demand from the introduction of new vessels there is a requirement to increase the capacity of the transformer supporting the wharf area.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,< 5 Million,"","","","","","",2024-Q3,2027-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
171,IP000036,2019-11-07T00:00:00,New Zealand Defence Force,Combined Explosive Hazards Security and Noise Buffer,This project is a placeholder to support the requirements of the Combined Explosive Hazards programme for working dogs at either Papakura; Ardmore; or Linton. The scope and detailed requirements seek the support of additional dogs and general improvements required for the training facilities at the relevant site. The level of noise attenuation required will be dependent on the surrounding environment. The full scope and scale of the project will be determined in line with the capability requirements and this units foreseen needs.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,< 5 Million,"","","","","","",2021-Q3,2024-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
172,IP000037,2019-11-07T00:00:00,New Zealand Defence Force,Special Operations Vehicle Introduction to Service - Priority Roads and Entrance,This project entry and project title awaits confirmation of requirement from the Defence Capability project lead. This project seeks upgrades to specific heavy vehicle routes in order to ensure safe and efficient vehicular movements in line with the expected future vehicle fleet demands. This project entry remains as a placeholder.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,< 5 Million,"","","","","","",2020-Q3,2022-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
173,IP000038,2019-11-07T00:00:00,New Zealand Defence Force,Secure Compound Extension,This project will deliver an extension to the secure compound at Papakura Camp. The secure compound at Papakura Camp requires extension to enable operational equipment to be trafficked and stored securely within the expanded compound. This project will also include associated roading; security monitoring; and other electronic security requirements. The spatial arrangement of these developments will be in line with the Papakura Infrastructure Master Plan.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,5 - 25 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
174,IP000040,2019-11-07T00:00:00,New Zealand Defence Force,North East Quadrant Flight Line Support,This project requires the delivery of facilities to support Air Surveillance Maritime Patrol Aircraft. With the introduction of fixed wing aircraft to the North East Quadrant new or co-joint facilities are required to support the capabilities and requirements of Air Surveillance Maritime Patrol aircraft. This project seeks to meet the demands of the Air Surveillance Maritime Patrol requirements without duplicating facilities. This may include maintenance and immediate logistics support that is required to be located within the North East Quadrant (i.e. behind the flight line at North East Quadrant). Functions are to be located and consolidated to meet the contemporary precinct block plan.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
175,IP000041,2019-11-07T00:00:00,New Zealand Defence Force,Fixed Wing Training and Simulation Facility,This project will deliver a new facility. The Air Surveillance Maritime Patrol training and simulation building is required to support and enable the introduction of this new capability at Ohakea. The building facilities must enable a capacity of approximately 60 personnel concurrently with associated administration; ablutions; and storage space to meet the security classification of the material and equipment. This facility will require secure communications and sufficient power capacity to support equipment and heating and cooling requirements. Due to other facilities in the vicinity separate and duplicated large break-out spaces are not foreseen. Easy and safe access to other associated squadron facilities will therefore need to be considered. This complex is not required to be located on the flight-line.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2020-Q3,2022-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
176,IP000042,2019-11-07T00:00:00,New Zealand Defence Force,Fixed Wing Warehouse and Parts Storage,This project may require an expansion/upgrade of existing facilities and surrounding infrastructure at Ohakea. To support and enable the introduction of new capability (Air Surveillance Maritime Patrol) at Ohakea platform specific parts require storage. A functional assessment of the storage needs will determine how this is provided. This is likely to be a mix of expansion/upgrade of existing Ohakea storage facilities and providing first-line parts storage close to the squadron facilities. This may also require upgrades to surrounding infrastructure to enable efficient processing and transportation of these parts and maintain security requirements.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2020-Q3,2022-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
177,IP000043,2019-11-07T00:00:00,New Zealand Defence Force,Fuel Storage Facility Expansion,This project will deliver an expansion of the existing fuel storage facility. The existing fuel storage facility is to be expanded commensurate with the demands of (among other things) the introduction into Royal New Zealand Air Force Base Ohakea of the Air Surveillance Maritime Patrol aircraft with an aviation refueller and expanded and improved tanker park.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2023-Q3,2026-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
178,IP000044,2019-11-07T00:00:00,New Zealand Defence Force,Air Surveillance Complimentary Capability Operations Centre,This project is a placeholder to support the introduction into service of the Air Surveillance Complimentary Capability fleet. The scope and scale of this project yet to be determined and may involve a new or improving an existing facility.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2023-Q3,2026-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
179,IP000045,2019-11-07T00:00:00,New Zealand Defence Force,Air Surveillance Complimentary Capability Hangar and Apron,This project is a placeholder to support the introduction into service of the Air Surveillance Complimentary Capability fleet. The scope and scale of this project is as yet unknown but is likely to re-use and improve an existing hangar and improve the condition of apron facilities.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
180,IP000046,2019-11-07T00:00:00,New Zealand Defence Force,Investment in Ohakea Housing,This project will replace existing housing at Ohakea. Ohakea is expecting an increase in on-base military personnel. The existing Ohakea housing is old and inefficient. A requirement exists to replace existing housing and provide new purpose-designed housing that is higher density and fit for contemporary use. New housing will be designed to remain relatable to occupiers for 50 years.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,50 - 100 Million,"","","","","","",2021-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
181,IP000047,2019-11-07T00:00:00,New Zealand Defence Force,Double Hangar and Offices,This project will deliver a new hangar. The introduction of the new P8-A aircraft will require a new hangar located in the north east quadrant.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,50 - 100 Million,"","","","","","",2020-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
182,IP000048,2019-11-07T00:00:00,New Zealand Defence Force,Operational Unit Precinct Utilities including High Voltage,This project is a placeholder to support the infrastructure upgrades required as a consequence of intensified development within the Operational Precinct at Linton Camp. Additional reports will inform the full scale and association of this project in view of the linked capability requirements.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,< 5 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
183,IP000049,2019-11-07T00:00:00,New Zealand Defence Force,Protected Mobility Vehicle Introduction to Service - Priority Roads and Heavy Goods Entrance,This project is a placeholder to support the introduction into service of the future Protected Mobility Vehicle fleet. The scope and scale of this project is currently unknown as it is dependent on the selected platform (yet to be decided). New Zealand Defence Force must ensure its camps and bases remain operationally effective and this project seeks to deliver improvements to the significant roads (to meet initial operating capability) required by the Protected Mobility Vehicle fleet at Linton consequential to their size and mass; without upgrades the next generation Protected Mobility Vehicle fleet may cause significant damage to existing road networks. This project also requires the development of the Heavy Goods entrance to enable efficient access for larger vehicles and provide safe access to and from the Camp.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2021-Q3,2024-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
184,IP000050,2019-11-07T00:00:00,New Zealand Defence Force,Protected Mobility Vehicle Introduction to Service - Priority Hardstanding,"This project is a placeholder to support the introduction into service of the Protected Mobility Fleet. As the project is dependent on the selected platform(s) the scale and requirements of this upgrade are currently unknown. The New Zealand Defence Force must ensure its camps and bases remain operationally effective, and this project seeks to deliver improvements to the hard-standing requirements to meet initial operating capability of the future Protected Mobility Vehicle fleet. As larger and heavier vehicles are anticipated this project will likely consist of upgrading and provision of new hard-standing. The location and hard-standing will meet the intent of the contemporary master and precinct block plans.","",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,< 5 Million,"","","","","","",2021-Q3,2024-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
185,IP000051,2019-11-07T00:00:00,New Zealand Defence Force,Operational Fuels Infrastructure - Logistics Precinct,This project will deliver upgrades to the operational fuels facility. The current operational fuels facility is not compliant due to changes in legislation; industry best practice; and changes in New Zealand Defence Force equipment fleets. The existing facility is now over 25 years old and is limited in both parking and fuel capacity to accommodate the range of fuelling equipment currently in service. This results in vehicles being parked without adequate secondary containment to manage a rupture or leak. This project seeks to provide these upgrades to prevent interceptors becoming overwhelmed; bypassed; or causing ground contamination.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
186,IP000052,2019-11-07T00:00:00,New Zealand Defence Force,Medical Centre and Hospital Relocation,"This project intends to provide a compliant, fit for purpose medical centre to enable the provision of quality health services to Linton personnel. The facility is to be located within the health precinct in order to ensure efficiencies and adjacencies with key units and users. This medical centre will meet the contemporary requirements of New Zealand Defence Force and will seek to reduce the duplication of shared spaces (such as waiting rooms) through co-location with similar functions.","",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,< 5 Million,"","","","","","",2023-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
187,IP000053,2019-11-07T00:00:00,New Zealand Defence Force,Stormwater Network - Logistics Precinct,This project involve stormwater and drainage reticulation works. Stormwater and drainage reticulation needs to be complete to meet the Logistics precinct re-development and to accommodate future projected stormwater flows consequential to the concentration of catchment areas. Currently there are some issues with stormwater flooding and poor drainage in this area. This is likely to worsen as increasing rainfall events occur. Attenuation ponds are required between the proposed Regional Supply Facility and watercourse re-alignment culvert. These stormwater and ecological improvements are required in order to maintain operational effectiveness whilst providing for a future-proofed resilient site.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2023-Q3,2026-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
188,IP000054,2019-11-07T00:00:00,New Zealand Defence Force,Waterway - Common Logistic Precinct,This project involves stormwater and drainage reticulation works. Stormwater and drainage reticulation need to be complete to meet the Logistics precinct re-development and to accommodate future projected stormwater flows consequential to the concentration of catchment areas. Currently there are some issues with storm-water flooding and poor drainage in this area. This is likely to worsen as increasing rainfall events occur. Attenuation ponds are required between the proposed Regional Supply Facility and watercourse re-alignment culvert. These stormwater and ecological improvements are required in order to maintain operational effectiveness whilst providing for a future-proofed resilient site.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Water,5 - 25 Million,"","","","","","",2023-Q3,2026-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
189,IP000055,2019-11-07T00:00:00,New Zealand Defence Force,Consolidated Parking - Common Logistics Precinct,This project requires the development of centralised parking at Linton Camp. Responding to the emerging New Zealand Defence Force parking strategy and the requirement to centralise and consolidate assets the Linton Infrastructure Master Plan indicated the requirement to consolidate parking across Linton Camp into central locations. Centralised parking provision is critical to the development of the Linton common logistics area; ensuring separation between pedestrians; personal vehicles; and heavy vehicles. This car park is to be designed to enable efficient access and designed in line with contemporary sustainable and landscaping practices and responding to anticipated changed in vehicle design and usage patterns.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2024-Q3,2026-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
190,IP000056,2019-11-07T00:00:00,New Zealand Defence Force,Heavy Vehicle Entrance Gate,This project seeks to provide security enhancements associated with the increased heavy vehicle movements at a purpose-built heavy vehicle entrance and goods-interchange at Linton Camp. This project will likely require completion of the significant works associated with the Consolidated Logistics Programme at Linton Camp. On completion this project will enable effective entrance control; increase heavy vehicle movement efficiency; and reduce impact to the local road connection.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2024-Q3,2028-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
191,IP000057,2019-11-07T00:00:00,New Zealand Defence Force,Camp Security and Entrance Enhancements,This project will develop the main entry to Camp. The current set up of the main entry to Camp is inadequate for the safe and efficient management of entrance into Camp by both pedestrians and vehicles. There is a requirement to enhance the security measures; primarily to improve security of pedestrians; and to create an enhanced controllable area for vehicle management purposes.,"",Business Case / Investment Case Development,To be determined,Wellington,Defence,5 - 25 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
192,IP000058,2019-11-07T00:00:00,New Zealand Defence Force,Medical Centre Burnham,This project intends to provide a compliant fit for purpose medical centre which is required to enable the provision of quality health services to Burnham personnel. The facility is to be located within the Health and wellbeing precinct as directed by the Burnham Infrastructure Master Plan. This project is a key dependency for the store's facility (i.e. is a predecessor) shown within the Logistics Precinct Block Plan.,"",Business Case / Investment Case Development,To be determined,Canterbury,Defence,5 - 25 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
193,IP000059,2019-11-07T00:00:00,New Zealand Defence Force,Electrical Network Priority,This project seeks to provide a reliable electrical network at Burnham Camp. The existing transformers are at end of life and safety concerns are arising from the effect of the age and condition and also demands through network distribution. These priority upgrades will accommodate known future demands and it is intended to utilise existing service corridors where appropriate but may necessitate a rationalised arterial and secondary service corridor layout. These upgrades will respond to and support the revised Camp layout as directed by the Burnham Infrastructure Master Plan.,"",Business Case / Investment Case Development,To be determined,Canterbury,Defence,< 5 Million,"","","","","","",2024-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
194,IP000060,2019-11-07T00:00:00,New Zealand Defence Force,Camp Armoury,This project will extend the existing armoury to meet current and future capacity requirements. The existing armoury does not meet current nor future expected capacity requirements and requires upgrades in order to store contemporary weaponry. This project will likely result in an extension to the existing armoury and will consider uprated management changes to improve efficiencies of stock control. The existing armoury was built to accommodate an extension however this project will support wider improvements especially regarding accessibility and stock management efficiency improvements.,"",Business Case / Investment Case Development,To be determined,Canterbury,Defence,< 5 Million,"","","","","","",2023-Q3,2026-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
195,IP000061,2019-11-07T00:00:00,New Zealand Defence Force,Training Hub - Linked Capability,The Training Hub at Burnham seeks to co-locate significant training activities to support the outcomes of the Master Plan (2019). The Training Hub will consist of multi-purpose facilities to support the requirements of the proposed relocation of Army Recruit; Non-Commissioned Officer; and Initial Officer Training; including the associated messing needs. This development will enable the concurrent unit operation and training whilst sharing some core facilities. The Training Hub will be located as directed by the master plan.,"",Business Case / Investment Case Development,To be determined,Canterbury,Defence,5 - 25 Million,"","","","","","",2025-Q3,2027-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
196,IP000062,2019-11-07T00:00:00,New Zealand Defence Force,Facilities Maintenance Compound - Linked Capability,This project requires relocating the Facilities Maintenance compound at Burnham. As a consequence of detailed planning for Logistics at Burnham the Facilities Maintenance compound is required to be relocated. This activity will include remediation of the existing site and provision of safe and compliant storage of effects to support the needs of infrastructure maintenance activities on the site.,"",Business Case / Investment Case Development,To be determined,Canterbury,Defence,< 5 Million,"","","","","","",2025-Q3,2027-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
197,IP000063,2019-11-07T00:00:00,New Zealand Defence Force,Transport Headquarters,This project requires relocating the Transport Headquarters at Burnham. As a consequence of detailed planning for Logistics at Burnham the Transport Headquarters are required to be relocated. The existing facilities are also end-of life and significantly constrained. This project will enable a new fit-for-purpose facility for the operation and management of Transport functions.,"",Business Case / Investment Case Development,To be determined,Canterbury,Defence,5 - 25 Million,"","","","","","",2024-Q3,2027-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
198,IP000064,2019-11-07T00:00:00,New Zealand Defence Force,Fuel Point Logistics,This project seeks to upgrade the existing fuel point facility principally to enlarge the concrete hard-standing apron size; containment area and volume; and canopy area. The proposed extension will extend parallel to Avery Road. The specific contamination risk of ground water penetration from spillage will be reduced through an appropriate; compliant; and sensitive design.,"",Business Case / Investment Case Development,To be determined,Canterbury,Defence,< 5 Million,"","","","","","",2025-Q3,2028-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
199,IP000065,2019-11-07T00:00:00,New Zealand Defence Force,Network Enabled Army Supporting Infrastructure - Stage 3,This project is a placeholder to support Stage 3 of the roll-out of the Network Enabled Army. The project has been identified and timed to support the improvement of electrical infrastructure necessary to support the project build phase. The scope and detailed requirements of the project will be determined by a subsequent report and requirement definition.,"",Business Case / Investment Case Development,To be determined,All of New Zealand,Defence,< 5 Million,"","","","","","",2022-Q3,2025-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
200,IP000066,2019-11-07T00:00:00,New Zealand Defence Force,Investment in Horizontal Infrastructure,This project requires the relocation; extension; and removal of redundant infrastructure. Defence has a requirement to generally improve the condition; capacity; and resilience of its underground infrastructure. With the intended development of the Defence estate opportunity will be taken to relocate; extend; and remove redundant underground infrastructure. Reports are held pointing to what is required and these will be used along with demands from development to arrange an annual programme of works.,"",Business Case / Investment Case Development,To be determined,All of New Zealand,Defence,100 - 250 Million,"","","","","","",2023-Q3,2035-Q2,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
201,IP000249,2019-11-07T00:00:00,New Zealand Defence Force,Counter Measures Introduction to Service - Equipment Storage,This project seeks to support the Introduction to Service of the Electronic Counter Measures Fleet. The scale and requirements remain dependent on the selected platform and until this is known the scope and scale remains unknown. This project seeks to provide the required equipment and spares storage for the specific platform. The expectation is that any facility expansion or upgrades will meet foreseen future needs of the future Electronic Counter Measures Fleet. These facilities will be co-located with similar functions on the site. The location is to be confirmed.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2021-Q3,2024-Q4,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
202,IP000250,2019-11-07T00:00:00,New Zealand Defence Force,Hospital Boiler Plant - Demolish and Replace,The Boiler Plant boilers are at end of life and require significant and increasing maintenance costs to maintain their operation. Failures are frequent and the resulting outage times to repair are extending. The building housing the boilers has seismic resilience issues which this project seeks to remediate. This project ties in with the heating and energy plan and subsequent upgrades currently under review for Burnham. This project may be folded into or become redundant because of the Burnham Energy project. This project will be under review as the Energy Project scope is confirmed.,"",Business Case / Investment Case Development,To be determined,Canterbury,Defence,< 5 Million,"","","","","","",2023-Q3,2025-Q4,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
203,IP000251,2019-11-07T00:00:00,New Zealand Defence Force,Offshore Patrol Vessels Introduction to Service - Wharf Utilities,This project seeks to support the introduction to service of new Offshore Patrol Vessels (OPV). This project has been identified as a support improvement to wharf infrastructure necessitated by this capability acquisition. The scope and detailed requirements of the project will be determined by a subsequent report coupled to the requirements of the future maritime fleet.,"",Business Case / Investment Case Development,To be determined,Auckland,Defence,5 - 25 Million,"","","","","","",2021-Q3,2024-Q4,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
204,IP000252,2019-11-07T00:00:00,New Zealand Defence Force,Protected Mobility Vehicle High Mobility Light Storage - Equipment and Maintenance Support,"This project seeks to support the introduction into service of the future Protected Mobility Vehicle fleet, specifically High Mobility Light. The scale and requirements remain dependent on the selected platform and until this is known the scope and scale remains unknown. This project seeks to provision the required equipment and spares storage for the specific platform and foreseen future needs of the future Protected Mobility Vehicle Fleet. These facilities will be co-located with similar functions on the site.","",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2020-Q3,2022-Q4,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
205,IP000253,2019-11-07T00:00:00,New Zealand Defence Force,Protected Mobility Vehicle Utility Vehicle  Medium Infrastructure,"This project seeks to support Introduction to Service of the future Protected Mobility fleet, specifically termed Utility Vehicle - Medium. The scale and requirements remain dependent on the selected platform and until this is known the scope and scale remains unknown. This project seeks to provision the required infrastructure for the specific platform and foreseen future needs of the future Protected Mobility Vehicle fleet. These facilities will be co-located with similar functions on the site.","",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Defence,5 - 25 Million,"","","","","","",2022-Q3,2025-Q4,http://campsandbases.nzdf.mil.nz/resources/defence-estate-regeneration-plan-refresh/,""
206,IP000119,2019-11-07T00:00:00,New Zealand Transport Agency,Safety Improvements - Stage 2 - SH5: Wairakei to Mihi to SH38,This project involves safety improvements to respond to the National Safety Roads and Roadsides Programme (NSRRP) Business Case. The business case recommended safety treatments target three high risk areas to achieve consistent wide shoulders and a safe and appropriate speed of 100 kilometres per hour.,"",In Procurement,Construct only,Waikato,Transport,5 - 25 Million,2019-Q2,2019-Q4,2019-Q4,2019-Q4,2020-Q1,2020-Q4,"","",https://www.nzta.govt.nz/projects/sh5-wairakei-to-sh38/,""
